ID     | Command line              | Date and time    | Action(s)      | Altered
   201 | update                    | 2018-01-07 13:03 | E, I, U        |   63 EE
   200 | update                    | 2017-12-28 14:08 | Upgrade        |   36 EE
   199 | update                    | 2017-12-25 10:34 | E, I, U        |   12   
   198 | update                    | 2017-12-24 10:22 | Upgrade        |    2 EE
   197 | update                    | 2017-12-20 15:06 | E, I, U        |   55 EE
   196 | update                    | 2017-12-17 13:36 | E, I, U        |   11   
   195 | install chromium          | 2017-12-16 08:50 | Install        |    4 EE
   194 | update                    | 2017-12-15 18:57 | E, I, U        |  165 EE
   193 | update                    | 2017-12-10 13:02 | I, U           |   49   
   192 | update                    | 2017-12-08 20:53 | E, I, U        |   30   
   191 | update                    | 2017-12-01 23:42 | E, I, U        |  132   
   190 | update                    | 2017-11-26 09:41 | Upgrade        |    1   
   189 | update                    | 2017-11-24 22:41 | E, I, U        |  101 EE
   188 | update                    | 2017-11-19 22:03 | Upgrade        |    1   
   187 | update                    | 2017-11-16 20:06 | I, O, U        |  156   
   186 | update                    | 2017-11-14 18:32 | E, I, U        |   93 EE
   185 | update                    | 2017-11-04 00:00 | E, I, U        |   12   
   184 | update                    | 2017-11-03 23:13 | E, I, U        |  175 EE
   183 | install glfw-devel        | 2017-11-03 22:32 | Install        |    2  <
   182 | update                    | 2017-10-22 11:33 | Upgrade        |   61 >E
   181 | update                    | 2017-10-21 09:42 | Upgrade        |   60 EE
   180 | update                    | 2017-10-14 12:07 | Upgrade        |    4 EE
   179 | update                    | 2017-10-13 19:34 | E, I, U        |   55   
   178 | update                    | 2017-10-09 23:21 | E, I, U        |   97 EE
   177 | update                    | 2017-09-30 16:15 | Upgrade        |   42   
   176 | update                    | 2017-09-29 21:32 | E, I, U        |  138   
   175 | update                    | 2017-09-24 10:40 | Upgrade        |   21  <
   174 | install lua-mpack         | 2017-09-24 10:26 | Install        |    1 > 
   173 | update                    | 2017-09-24 00:06 | Upgrade        |    1 EE
   172 | update                    | 2017-09-23 13:17 | Upgrade        |   23   
   171 | update                    | 2017-09-22 08:48 | Upgrade        |   43   
   170 | update                    | 2017-09-22 00:24 | E, I, U        |  101 EE
   169 | update                    | 2017-09-16 08:10 | E, I, U        |   60   
   168 | update                    | 2017-09-14 08:10 | Upgrade        |   32   
   167 | update                    | 2017-09-13 18:51 | E, I, U        |   15   
   166 | install scite             | 2017-09-13 18:41 | Install        |    1   
   165 | install mesa-vulkan-drive | 2017-09-11 17:13 | Install        |    3   
   164 | install graphviz          | 2017-09-11 17:06 | Install        |    4   
   163 | install xorg-x11-server-d | 2017-09-11 17:03 | Install        |    6   
   162 | remove vulkan-devel-1.0.5 | 2017-09-11 16:48 | Removed        |    4   
   161 | install SDL2-devel        | 2017-09-11 16:22 | Install        |    2   
   160 | install libmad-devel      | 2017-09-11 16:19 | Install        |    1   
   159 | install vulkan-devel      | 2017-09-11 16:17 | Install        |    4   
   158 | update                    | 2017-09-11 15:58 | Upgrade        |   13   
   157 | update                    | 2017-09-11 12:21 | Upgrade        |    4   
   156 | update                    | 2017-09-10 13:22 | Upgrade        |   32   
   155 | update                    | 2017-09-09 16:16 | Upgrade        |   25   
   154 | update                    | 2017-09-08 17:38 | Upgrade        |   21   
   153 | update                    | 2017-09-07 18:19 | Upgrade        |    6   
   152 | update                    | 2017-09-05 09:24 | Upgrade        |   24 EE
   151 | update                    | 2017-09-04 07:59 | Upgrade        |    8   
   150 | update                    | 2017-09-03 12:41 | Upgrade        |   38   
   149 | update                    | 2017-09-01 16:29 | E, I, U        |   11   
   148 | update                    | 2017-08-30 08:11 | Upgrade        |   38   
   147 | update                    | 2017-08-29 10:44 | I, U           |   26 EE
   146 | update                    | 2017-08-28 15:48 | E, I, U        |  224   
